Geographic area,Indicator,Sex,Wealth Quintile,Series Name,Series Year,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,Observation Status,Unit of measure,Series Category,Series Type,STD_ERR,REF_DATE,Age Group of Women,Time Since First Birth,DEFINITION,INTERVAL,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,Model Used
Nigeria,Neonatal mortality rate,Total,Total,World Fertility Survey 1981-1982 (Direct),1981-1982,,1958-06,67.19,,,,,Excluded from IGME,"Deaths per 1,000 live births",WFS,Direct,9,1958.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,World Fertility Survey 1981-1982 (Direct),1981-1982,,1963-06,48.17,,,,,Excluded from IGME,"Deaths per 1,000 live births",WFS,Direct,5.17,1963.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,World Fertility Survey 1981-1982 (Direct),1981-1982,,1968-06,56.85,,,,,Excluded from IGME,"Deaths per 1,000 live births",WFS,Direct,5.93,1968.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,World Fertility Survey 1981-1982 (Direct),1981-1982,,1973-06,47.23,,,,,Excluded from IGME,"Deaths per 1,000 live births",WFS,Direct,4.06,1973.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,World Fertility Survey 1981-1982 (Direct),1981-1982,,1978-06,42.08,,,,,Excluded from IGME,"Deaths per 1,000 live births",WFS,Direct,3.26,1978.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2008 (Direct),2008,,1985-06,46,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.94,1985.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2008 (Direct),2008,,1990-06,50.12,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.65,1990.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2008 (Direct),2008,,1995-06,50.73,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.28,1995.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2008 (Direct),2008,,2000-06,52.42,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,1.98,2000.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2008 (Direct),2008,,2005-06,39.63,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,1.59,2005.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2003 (Direct),2003,,1980-06,54.54,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,6.31,1980.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2003 (Direct),2003,,1985-06,51.66,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,5.27,1985.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2003 (Direct),2003,,1990-06,54.88,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,3.94,1990.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2003 (Direct),2003,,1995-06,58.64,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,4.3,1995.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2003 (Direct),2003,,2000-06,47.84,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,3.54,2000.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2021 (Direct),2021,,1998-06,46.05288795,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,3.523941109,1998.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2021 (Direct),2021,,2003-06,32.31178268,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,2.304103692,2003.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2021 (Direct),2021,,2008-06,32.26105097,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,1.922678788,2008.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2021 (Direct),2021,,2013-06,31.02260478,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,1.846361163,2013.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Multiple Indicator Cluster Survey 2021 (Direct),2021,,2018-06,33.97353815,,,,,Excluded from IGME,"Deaths per 1,000 live births",MICS,Direct,1.687932516,2018.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2018 (Direct),2018,,1995-06,38.46022,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,3.64157,1995.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2018 (Direct),2018,,2000-06,38.79018,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,4.005924,2000.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2018 (Direct),2018,,2005-06,32.33979,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.231253,2005.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2018 (Direct),2018,,2010-06,33.93754,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.122198,2010.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2018 (Direct),2018,,2015-06,38.21482,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,2.127269,2015.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1990 (Direct),1990,,1967-06,67.6,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,6.93,1967.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1990 (Direct),1990,,1972-06,61.93,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,7.85,1972.5,,,,5,Survey/Census with Full Birth Histories,,,,,
Nigeria,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1990 (Direct),1990,,1977-06,57.01,,,,,Included in IGME,"Deaths per 1,000 live births",DHS,Direct,5.68,1977.5,,,,5,Survey/Census with Full Birth Histories,,,,,
